iteration,score,lap_time,completed_laps,off_track_pct,max_grip_usage,accepted
0,9.250000,8.850000,1,0.000000,1.000000,True
1,76.917814,8.716667,1,37.667304,1.000000,False
2,43.105868,7.716667,1,19.438445,1.000000,False
3,64.770748,8.166667,1,31.224490,1.000000,False
4,33.046273,8.050000,1,13.664596,1.000000,False
5,7.900000,7.500000,1,0.000000,1.000000,True
6,7.950000,7.550000,1,0.000000,1.000000,False
7,7.850000,7.450000,1,0.000000,1.000000,True
8,52.736159,6.783333,1,25.307125,1.000000,False
9,7.916667,7.516667,1,0.000000,1.000000,False
10,89.165217,9.200000,1,44.202899,1.000000,False
11,29.819512,8.200000,1,11.788618,1.000000,False
12,104.465368,10.266667,1,52.110390,1.000000,False
13,8.200000,7.800000,1,0.000000,1.000000,False
14,7.900000,7.500000,1,0.000000,1.000000,False
15,7.733333,7.333333,1,0.000000,1.000000,True
16,9.050000,8.650000,1,0.000000,1.000000,False
17,53.600000,8.200000,1,25.000000,1.000000,False
18,7.783333,7.383333,1,0.000000,1.000000,False
19,84.610752,9.016667,1,41.774492,1.000000,False
20,70.374835,8.433333,1,34.189723,1.000000,False
21,7.733333,7.333333,1,0.000000,1.000000,False
22,78.634347,8.766667,1,38.593156,1.000000,False
23,33.547157,7.816667,1,14.072495,1.000000,False
24,8.050000,7.650000,1,0.000000,1.000000,False
25,83.160271,9.033333,1,40.959410,1.000000,False
26,7.883333,7.483333,1,0.000000,1.000000,False
27,82.518769,8.983333,1,40.630798,1.000000,False
28,7.683333,7.283333,1,0.000000,1.000000,True
29,7.600000,7.200000,1,0.000000,1.000000,True
30,75.826568,8.416667,1,37.227723,1.000000,False
31,7.600000,7.200000,1,0.000000,1.000000,False
32,49.913166,6.983333,1,23.627685,1.000000,False
33,38.025000,8.000000,1,16.458333,1.000000,False
34,8.100000,7.700000,1,0.000000,1.000000,False
35,22.196098,7.616667,1,7.877462,1.000000,False
36,75.459894,8.366667,1,37.051793,1.000000,False
37,45.383801,7.133333,1,21.028037,1.000000,False
38,46.947799,7.066667,1,21.933962,1.000000,False
39,8.116667,7.716667,1,0.000000,1.000000,False
40,77.371053,8.550000,1,38.011696,1.000000,False
